Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1599215277,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1599215282,5,GET,/,0.000000,0.000000,17,17,18,18,18,18,18,18,18,18,18,3,0,17,17.23623333358167,16.301100000418955,17.944600000191713,4609.0
1599215282,5,GET,/api/,0.500000,0.000000,79,80,80,82,82,82,82,82,82,82,82,5,0,79,69.08186000000569,27.681099999426806,81.59909999994852,51.0
1599215282,5,GET,/blog/,1.000000,0.000000,64,64,110,110,110,110,110,110,110,110,110,3,0,64,66.8924333334265,31.158600000708248,105.68609999972978,4791.0
1599215282,5,,Aggregated,1.500000,0.000000,64,79,80,80,82,110,110,110,110,110,110,11,0,64,54.345027272822996,16.301100000418955,105.68609999972978,2586.818181818182
1599215287,10,GET,/,0.571429,0.000000,17,18,37,37,68,68,68,68,68,68,68,8,0,16,25.53892500020538,15.803100000084669,67.69570000051317,4609.0
1599215287,10,GET,/api/,0.857143,0.000000,79,80,82,84,87,87,87,87,87,87,87,10,0,78,61.14497999997184,27.681099999426806,86.69579999968846,51.0
1599215287,10,GET,/blog/,1.428571,0.000000,31,31,35,41,80,87,110,110,110,110,110,22,0,31,40.8821545454223,29.257099999995262,105.68609999972978,4791.0
1599215287,10,,Aggregated,2.857143,0.000000,31,37,68,79,84,87,110,110,110,110,110,40,0,31,42.8792150000163,15.803100000084669,105.68609999972978,3569.6
1599215292,15,GET,/,1.400000,0.000000,17,18,18,18,22,37,68,68,68,68,68,23,0,17,20.19584782627372,15.803100000084669,67.69570000051317,4609.0
1599215292,15,GET,/api/,1.200000,0.000000,29,78,80,80,84,87,87,87,87,87,87,16,0,29,48.67400624999618,26.758699999845703,86.69579999968846,51.0
1599215292,15,GET,/blog/,3.600000,0.000000,31,31,35,41,81,87,110,110,110,110,110,48,0,31,40.620418750014174,28.173199999400822,105.68609999972978,4791.0
1599215292,15,,Aggregated,6.200000,0.000000,30,31,34,38,81,84,88,110,110,110,110,87,0,30,36.70193908051626,15.803100000084669,105.68609999972978,3871.1609195402298
1599215297,20,GET,/,2.400000,0.000000,17,17,18,18,37,68,71,71,71,71,71,33,0,17,22.224469697048885,15.082400000210328,70.68519999938871,4609.0
1599215297,20,GET,/api/,0.900000,0.000000,29,38,78,79,82,84,87,87,87,87,87,22,0,29,44.34016363633088,26.758699999845703,86.69579999968846,51.0
1599215297,20,GET,/blog/,6.200000,0.000000,31,32,33,35,80,85,88,110,110,110,110,93,0,31,38.800040860204255,28.173199999400822,105.68609999972978,4791.0
1599215297,20,,Aggregated,9.500000,0.000000,30,31,33,35,80,84,87,88,110,110,110,148,0,30,35.927668243249244,15.082400000210328,105.68609999972978,4045.824324324324
1599215302,25,GET,/,3.000000,0.000000,16,17,18,18,22,67,71,71,71,71,71,50,0,16,20.264360000019224,15.013799999906041,70.68519999938871,4609.0
1599215302,25,GET,/api/,1.200000,0.000000,29,33,78,79,82,84,87,87,87,87,87,36,0,29,44.012269444465346,26.464700000360608,86.69579999968846,51.0
1599215302,25,GET,/blog/,7.600000,0.000000,31,32,34,38,80,85,87,88,110,110,110,138,0,31,38.621616666673155,27.576999999837426,105.68609999972978,4791.0
1599215302,25,,Aggregated,11.800000,0.000000,30,31,33,36,79,83,87,87,110,110,110,224,0,30,35.39036964286879,15.013799999906041,105.68609999972978,3988.589285714286
1599215307,30,GET,/,3.000000,0.000000,17,18,19,20,34,68,79,260,260,260,260,71,0,17,24.7565352112591,15.013799999906041,255.0503000002209,4609.0
1599215307,30,GET,/api/,2.400000,0.000000,31,32,36,51,80,82,84,87,87,87,87,54,0,31,40.12932037043087,26.464700000360608,86.69579999968846,51.0
1599215307,30,GET,/blog/,9.300000,0.000000,32,33,35,37,80,85,93,110,270,270,270,194,0,32,39.56024484536026,27.576999999837426,269.6753999998691,4791.0
1599215307,30,,Aggregated,14.700000,0.000000,31,32,34,36,78,84,87,95,270,270,270,319,0,31,36.3617078369986,15.013799999906041,269.6753999998691,3948.1097178683385
1599215312,35,GET,/,4.100000,0.000000,18,18,20,22,40,71,87,260,260,260,260,95,0,18,25.114040000000003,15.013799999906041,255.0503000002209,4609.0
1599215312,35,GET,/api/,3.400000,0.000000,31,33,36,38,80,82,87,93,93,93,93,74,0,31,39.08180945947262,26.464700000360608,92.64840000014374,51.0
1599215312,35,GET,/blog/,11.700000,0.000000,33,34,36,38,80,87,95,130,270,270,270,260,0,33,40.34167192308605,27.576999999837426,269.6753999998691,4791.0
1599215312,35,,Aggregated,19.200000,0.000000,31,33,35,37,75,85,93,110,270,270,270,429,0,31,36.752266666674466,15.013799999906041,269.6753999998691,3933.074592074592
