Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3306,0,17,21.195868360558798,13.733999999203661,296.7404999999417,4609.0,11.200560086120952,0.0,17,18,20,21,27,44,70,76,260,300,300
GET,/api/,3247,0,29,35.576471358167666,24.845599999935075,489.7379000003639,51.0,11.000671082769125,0.0,29,31,32,34,42,82,110,130,270,490,490
GET,/blog/,9503,0,32,38.20567170367316,26.29389999947307,1134.2906999998377,4791.0,32.19568133648137,0.0,32,34,36,38,47,84,100,120,270,1100,1100
,Aggregated,16056,0,30,34.171577073989965,13.733999999203661,1134.2906999998377,3794.9566517189837,54.396912505371446,0.0,30,32,34,36,44,77,97,120,270,1100,1100
